date,replies,retweets,favorites
4/11/2016 19:29,409,2807,8100
4/11/2016 17:11,204,449,1799
4/11/2016 15:34,361,3837,7080
4/8/2016 21:23,442,932,2705
4/8/2016 18:52,493,2295,5224
4/8/2016 17:04,531,869,3669
4/8/2016 15:45,351,2044,8217
4/7/2016 22:06,310,1121,3548
4/7/2016 20:33,211,462,1266
4/7/2016 19:47,175,446,1791
4/7/2016 19:02,161,278,1021
4/7/2016 18:12,225,1154,4248
4/7/2016 17:03,205,457,1837
4/7/2016 15:34,506,3839,11993
4/6/2016 22:17,530,4683,11106
4/6/2016 20:20,73,271,609
4/6/2016 18:27,254,1187,3511
4/6/2016 16:57,103,343,1041
4/6/2016 15:55,326,1743,3246
4/5/2016 22:13,250,1068,3158
4/5/2016 20:09,337,664,2445
4/5/2016 18:17,313,910,2540
4/5/2016 16:16,186,348,1383
4/5/2016 15:34,130,382,1363
4/4/2016 21:23,278,798,2382
4/4/2016 19:36,250,1125,3669
4/4/2016 17:38,381,3523,9791
4/4/2016 16:06,170,346,1657
4/1/2016 19:16,857,2868,8442
4/1/2016 17:54,284,1164,3404
4/1/2016 16:12,870,3886,12176
4/1/2016 14:30,309,1596,5254
3/31/2016 22:41,241,440,1625
3/31/2016 21:22,210,415,1984
3/31/2016 20:12,154,296,1422
3/31/2016 18:57,241,1022,4449
3/31/2016 16:56,120,355,1454
3/31/2016 15:14,396,828,4742
3/30/2016 22:24,210,437,2343
3/30/2016 21:23,167,313,1489
3/30/2016 19:13,284,1863,3624
3/30/2016 17:12,174,521,3013
3/30/2016 15:10,206,374,1715
3/29/2016 22:03,364,840,4532
3/29/2016 20:05,192,497,2137
3/29/2016 18:27,266,890,3096
3/29/2016 16:54,146,631,2116
3/29/2016 15:08,343,1279,3412
3/28/2016 21:40,384,1944,5481
3/28/2016 17:03,399,570,2988
3/28/2016 14:39,149,421,1798
3/28/2016 14:18,146,1218,3089
3/27/2016 17:43,1140,7866,32989
3/25/2016 21:40,988,2877,13182
3/25/2016 20:38,218,669,2605
3/25/2016 19:46,83,337,1115
3/25/2016 18:46,440,1163,3839
3/25/2016 16:59,426,3783,10578
3/25/2016 15:16,438,1089,4547
3/24/2016 21:51,329,1797,5123
3/24/2016 19:58,165,639,1979
3/24/2016 18:21,291,1887,5518
3/24/2016 16:33,183,611,2485
3/24/2016 15:44,143,386,1664
3/23/2016 22:42,619,6335,22002
3/23/2016 21:54,401,1380,6466
3/23/2016 20:48,407,1197,4824
3/23/2016 19:42,90,156,613
3/23/2016 19:02,80,421,818
3/23/2016 17:47,971,4378,16604
3/23/2016 16:19,289,994,4241
3/22/2016 14:50,1092,5492,9016
3/21/2016 21:37,349,377,1989
3/21/2016 17:48,479,3657,9707
