date,approving
2014-01-03,41
2014-01-02,41
2013-12-29,43
2013-12-28,43
2013-12-27,43
2013-12-26,43
2013-12-25,43
2013-12-24,43
2013-12-23,43
2013-12-22,40
2013-12-21,40
2013-12-20,40
2013-12-19,40
2013-12-18,40
2013-12-17,40
2013-12-16,40
2013-12-15,42
2013-12-14,42
2013-12-13,42
2013-12-12,42
2013-12-11,42
2013-12-10,42
2013-12-09,42
2013-12-08,41
2013-12-07,41
2013-12-06,41
2013-12-05,41
2013-12-04,41
2013-12-03,41
2013-12-02,41
2013-12-01,42
2013-11-30,42
2013-11-29,42
2013-11-28,42
2013-11-27,42
2013-11-26,42
2013-11-25,42
2013-11-24,40
2013-11-23,40
2013-11-22,40
2013-11-21,40
2013-11-20,40
2013-11-19,40
2013-11-18,40
2013-11-17,41
2013-11-16,41
2013-11-15,41
2013-11-14,41
2013-11-13,41
2013-11-12,41
2013-11-11,41
2013-11-10,41
2013-11-09,41
2013-11-08,41
2013-11-07,41
2013-11-06,41
2013-11-05,41
2013-11-04,41
2013-11-03,41
2013-11-02,41
2013-11-01,41
2013-10-31,41
2013-10-30,41
2013-10-29,41
2013-10-28,41
2013-10-27,43
2013-10-26,43
2013-10-25,43
2013-10-24,43
2013-10-23,43
2013-10-22,43
2013-10-21,43
2013-10-20,43
2013-10-19,43
2013-10-18,43
2013-10-17,43
2013-10-16,43
2013-10-15,43
2013-10-14,43
2013-10-13,42
2013-10-12,42
2013-10-11,42
2013-10-10,42
2013-10-09,42
2013-10-08,42
2013-10-07,42
2013-10-06,44
2013-10-05,44
2013-10-04,44
2013-10-03,44
2013-10-02,44
2013-10-01,44
2013-09-30,44
2013-09-29,45
2013-09-28,45
2013-09-27,45
2013-09-26,45
2013-09-25,45
2013-09-24,45
2013-09-23,45
2013-09-22,44
2013-09-21,44
2013-09-20,44
2013-09-19,44
2013-09-18,44
2013-09-17,44
2013-09-16,44
2013-09-15,45
2013-09-14,45
2013-09-13,45
2013-09-12,45
2013-09-11,45
2013-09-10,45
2013-09-09,45
2013-09-08,44
2013-09-07,44
2013-09-06,44
2013-09-05,44
