,modeldate,text,retweet_count,favorite_count
144,2021-02-02 02:46:53,"RT @POTUS: We’ve never fully lived up to the founding principles of this nation, but our Administration is committed to finishing the work…",14341,0
145,2021-02-01 00:08:26,"RT @POTUS: In order to get America vaccinated, we need more:

- Places for people to get vaccinated
- Medical teams to get shots into arms…",13542,0
146,2021-01-31 01:01:39,"RT @POTUS: Over the last 10 days, I’ve taken action on:

- COVID-19
- The economy
- Climate change
- Racial equity
- Immigration
- Health c…",32060,0
147,2021-01-27 18:46:38,"RT @POTUS: This afternoon, I’ll be taking action to meet the climate crisis with the urgency it demands. Tune in. https://t.co/TaCmltDZ6X",7025,0
148,2021-01-24 02:49:49,"RT @POTUS: We’re facing a historic moment in our nation’s history — one that requires bold and swift action. That’s why this week, I took h…",14642,0
149,2021-01-24 02:49:45,"RT @POTUS: We will get through this, together. https://t.co/W03wlb2m8o",11093,0
150,2021-01-23 01:57:08,RT @POTUS: Federal employees have dedicated their careers to serving the American people — and they are worthy of the utmost dignity and re…,15018,0
151,2021-01-23 01:56:57,"RT @POTUS: I know times are tough, but help is on the way. https://t.co/BVi3b6NoBv",8755,0
152,2021-01-23 01:56:54,"RT @POTUS: This afternoon, I’ll be taking action to provide much-needed relief to communities and small businesses impacted by COVID-19. Tu…",5923,0
153,2021-01-23 01:56:42,"RT @POTUS: As we mark the 48th anniversary of Roe v. Wade, now is the time to rededicate ourselves to the work ahead. From codifying Roe to…",11622,0
154,2021-01-23 01:56:41,RT @POTUS: I’m grateful for the Senate’s continued bipartisanship and swift confirmation of Lloyd Austin. His confirmation is historic — an…,6018,0
155,2021-01-22 02:52:19,RT @POTUS: We will get this virus under control. https://t.co/59iC1nyR0N,7215,0
156,2021-01-22 02:52:16,"RT @POTUS: I give you my word: I will always level with you.

I will defend the Constitution, our democracy, and America.

And I will give…",12792,0
157,2021-01-21 18:53:32,"RT @POTUS: We don't have a second to waste when it comes to getting this virus under control. That's why today, I'll be signing executive a…",20347,0
158,2021-01-21 06:25:16,"RT @WhiteHouse: We are currently facing four converging crises — COVID-19, the resulting economic crisis, climate change, and racial inequi…",7830,0
159,2021-01-21 06:24:59,RT @POTUS: Wearing masks isn't a partisan issue — it's a patriotic act that can save countless lives. That's why I signed an executive orde…,42072,0
160,2021-01-20 21:19:45,RT @POTUS: The time to move forward is now. https://t.co/IrUUu0bxGO,70258,0
161,2021-01-20 17:58:53,"RT @POTUS: There is no time to waste when it comes to tackling the crises we face. That's why today, I am heading to the Oval Office to get…",76573,0
162,2021-01-20 17:55:22,"Now the real work begins, folks. Follow along at @POTUS as we build back better. https://t.co/fHViqSqwp2",62611,891064
163,2021-01-20 15:46:00,"I love you, Jilly, and I couldn’t be more grateful to have you with me on the journey ahead. https://t.co/V4GUXAKSKg",63143,947319
164,2021-01-20 14:58:21,"Today, we begin anew. Tune in for #Inauguration2021. https://t.co/HxfU8q5riA",39350,323201
165,2021-01-20 14:20:00,It’s a new day in America.,505825,4191672
166,2021-01-20 03:20:00,"Tonight, in Washington, D.C. and across the nation, we came together to honor the over 400,000 Americans we’ve lost to COVID-19. The last year has tested us in unimaginable ways, but now it’s time we begin to heal and overcome — together. https://t.co/DuWhN1xjNO",50189,571845
167,2021-01-20 02:00:00,"We don’t have a second to waste when it comes to tackling the crises we face as a nation. That’s why after being sworn in tomorrow, I’ll get right to work. https://t.co/QBrS17mle8",7466,83165
168,2021-01-19 22:09:53,"Join us for a national moment of unity and remembrance in honor of the 400,000 Americans we’ve lost due to COVID-19. https://t.co/0BW7AQLxUx",9375,77012
169,2021-01-19 20:39:00,"Next stop: Washington, D.C. https://t.co/oW0C4LQVBf",46907,602143
